sa_id,file_name
rickenbach,nDSM_2700000_1268000_SWISS2_20240214_LV95LN02.copc.laz
rickenbach,nDSM_2701000_1268000_SWISS2_20240214_LV95LN02.copc.laz
prevonloup,nDSM_2555000_1173000_SWISS2_20250405_LV95LN02.copc.laz
prevonloup,nDSM_2556000_1173000_SWISS2_20250405_LV95LN02.copc.laz
prevonloup,nDSM_2555000_1172000_SWISS2_20250405_LV95LN02.copc.laz
prevonloup,nDSM_2556000_1172000_SWISS2_20250405_LV95LN02.copc.laz
prevonloup,nDSM_2555000_1171000_SWISS2_20250405_LV95LN02.copc.laz
prevonloup,nDSM_2556000_1171000_SWISS2_20250405_LV95LN02.copc.laz
orzens,nDSM_2542000_1176000_SWISS2_20250404_LV95LN02.copc.laz
orzens,nDSM_2543000_1176000_SWISS2_20250404_LV95LN02.copc.laz
orzens,nDSM_2542000_1175000_SWISS2_20250404_LV95LN02.copc.laz
orzens,nDSM_2543000_1175000_SWISS2_20250405_LV95LN02.copc.laz
engelswilen,nDSM_2727000_1273000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2728000_1273000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2729000_1273000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2727000_1272000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2728000_1272000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2729000_1272000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2727000_1271000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2728000_1271000_SWISS2_20240303_LV95LN02.copc.laz
engelswilen,nDSM_2729000_1271000_SWISS2_20240303_LV95LN02.copc.laz
allema_schafboden,nDSM_2688000_1215000_SWISS2_20240709_LV95LN02.copc.laz
allema_schafboden,nDSM_2689000_1215000_SWISS2_20240322_LV95LN02.copc.laz
allema_schafboden,nDSM_2690000_1215000_SWISS2_20240322_LV95LN02.copc.laz
allema_schafboden,nDSM_2688000_1214000_SWISS2_20240325_LV95LN02.copc.laz
allema_schafboden,nDSM_2689000_1214000_SWISS2_20240325_LV95LN02.copc.laz
allema_schafboden,nDSM_2690000_1214000_SWISS2_20240325_LV95LN02.copc.laz
allema_schafboden,nDSM_2688000_1213000_SWISS2_20240325_LV95LN02.copc.laz
allema_schafboden,nDSM_2689000_1213000_SWISS2_20240325_LV95LN02.copc.laz
allema_schafboden,nDSM_2690000_1213000_SWISS2_20240325_LV95LN02.copc.laz
allema_rischberg,nDSM_2676000_1215000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2677000_1215000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2678000_1215000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2676000_1214000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2677000_1214000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2678000_1214000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2676000_1213000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2677000_1213000_SWISS2_20240322_LV95LN02.copc.laz
allema_rischberg,nDSM_2678000_1213000_SWISS2_20240709_LV95LN02.copc.laz
